company,title,experience,location,posted_relative,rating,reviews,raw_text,posted_date
Hindustan Coca Cola Beverages Plant HR Manager 12,"18 yrs Hindustan Coca Cola Beverages - Plant HR Manager Posted 3 days ago      2026-02-07 20:18:22  Hindustan Coca Cola Beverages - Plant HR Manager https://www.iimjobs.com/j/hindustan-coca-cola-beverages-plant-hr-manager-1671998?ref=sp_br_prm&jobPos=1 4 3,379+ Reviews Hindustan Coca Cola Beverages - Plant HR Manager",12 - 18 yrs,Maharashtra,Posted 3 days ago      2026-02-07 20:18:22  Hindustan Coca Cola Beverages - Plant HR Manager https://www.iimjobs.com/j/hindustan-coca-cola-beverages-plant-hr-manager-1671998?ref=sp_br_prm&jobPos=1,4.0,3379,"Hindustan Coca Cola Beverages Plant HR Manager 12 - 18 yrs Hindustan Coca Cola Beverages - Plant HR Manager Posted 3 days ago      2026-02-07 20:18:22  Hindustan Coca Cola Beverages - Plant HR Manager https://www.iimjobs.com/j/hindustan-coca-cola-beverages-plant-hr-manager-1671998?ref=sp_br_prm&jobPos=1 4 3,379+ Reviews Hindustan Coca Cola Beverages - Plant HR Manager 12 - 18 yrs Maharashtra 4 3,379+ Reviews Posted 3 days ago      2026-02-07 20:18:22  Hindustan Coca Cola Beverages - Plant HR Manager https://www.iimjobs.com/j/hindustan-coca-cola-beverages-plant-hr-manager-1671998?ref=sp_br_prm&jobPos=1",2026-02-04
HR Transformation Partner IT 18,25 yrs HR Transformation Partner - IT Posted 2 days ago      2026-02-07 20:18:22  HR Transformation Partner - IT https://www.iimjobs.com/j/hr-transformation-partner-it-1672269?ref=sp_prm&jobPos=2   HR Transformation Partner - IT,18 - 25 yrs,Multiple Locations,Posted 2 days ago      2026-02-07 20:18:22  HR Transformation Partner - IT https://www.iimjobs.com/j/hr-transformation-partner-it-1672269?ref=sp_prm&jobPos=2,,,HR Transformation Partner IT 18 - 25 yrs HR Transformation Partner - IT Posted 2 days ago      2026-02-07 20:18:22  HR Transformation Partner - IT https://www.iimjobs.com/j/hr-transformation-partner-it-1672269?ref=sp_prm&jobPos=2   HR Transformation Partner - IT 18 - 25 yrs Multiple Locations Posted 2 days ago      2026-02-07 20:18:22  HR Transformation Partner - IT https://www.iimjobs.com/j/hr-transformation-partner-it-1672269?ref=sp_prm&jobPos=2,2026-02-05
Broadridge HR Portfolio Lead 8,"16 yrs Broadridge - HR Portfolio Lead Posted 1 week ago      2026-02-07 20:18:23  Broadridge - HR Portfolio Lead https://www.iimjobs.com/j/broadridge-hr-portfolio-lead-1670236?ref=sp_br_prm&jobPos=3 3.8 1,515+ Reviews Broadridge - HR Portfolio Lead",8 - 16 yrs,Bangalore,Posted 1 week ago      2026-02-07 20:18:23  Broadridge - HR Portfolio Lead https://www.iimjobs.com/j/broadridge-hr-portfolio-lead-1670236?ref=sp_br_prm&jobPos=3,3.8,1515,"Broadridge HR Portfolio Lead 8 - 16 yrs Broadridge - HR Portfolio Lead Posted 1 week ago      2026-02-07 20:18:23  Broadridge - HR Portfolio Lead https://www.iimjobs.com/j/broadridge-hr-portfolio-lead-1670236?ref=sp_br_prm&jobPos=3 3.8 1,515+ Reviews Broadridge - HR Portfolio Lead 8 - 16 yrs Bangalore 3.8 1,515+ Reviews Posted 1 week ago      2026-02-07 20:18:23  Broadridge - HR Portfolio Lead https://www.iimjobs.com/j/broadridge-hr-portfolio-lead-1670236?ref=sp_br_prm&jobPos=3",2026-01-31
Reliance Industries HR Business Partner,CHO Projects 8 - 12 yrs Reliance Industries - HR Business Partner - CHO Projects Posted today      2026-02-07 20:18:23  Reliance Industries - HR Business Partner - CHO Projects https://www.iimjobs.com/j/reliance-industries-hr-business-partner-cho-projects-1672811?ref=sp_br_prm&jobPos=4   Reliance Industries - HR Business Partner - CHO Projects,8 - 12 yrs,Gujarat,Posted today      2026-02-07 20:18:23  Reliance Industries - HR Business Partner - CHO Projects https://www.iimjobs.com/j/reliance-industries-hr-business-partner-cho-projects-1672811?ref=sp_br_prm&jobPos=4,,,Reliance Industries HR Business Partner - CHO Projects 8 - 12 yrs Reliance Industries - HR Business Partner - CHO Projects Posted today      2026-02-07 20:18:23  Reliance Industries - HR Business Partner - CHO Projects https://www.iimjobs.com/j/reliance-industries-hr-business-partner-cho-projects-1672811?ref=sp_br_prm&jobPos=4   Reliance Industries - HR Business Partner - CHO Projects 8 - 12 yrs Gujarat Posted today      2026-02-07 20:18:23  Reliance Industries - HR Business Partner - CHO Projects https://www.iimjobs.com/j/reliance-industries-hr-business-partner-cho-projects-1672811?ref=sp_br_prm&jobPos=4,2026-02-07
Leap Finance HR Business Partner 4,8 yrs Leap Finance - HR Business Partner Posted 1 week ago      2026-02-07 20:18:24  Leap Finance - HR Business Partner https://www.iimjobs.com/j/leap-finance-hr-business-partner-1670111?ref=sp_br_prm&jobPos=5   Leap Finance - HR Business Partner,4 - 8 yrs,Mumbai,Posted 1 week ago      2026-02-07 20:18:24  Leap Finance - HR Business Partner https://www.iimjobs.com/j/leap-finance-hr-business-partner-1670111?ref=sp_br_prm&jobPos=5,,,Leap Finance HR Business Partner 4 - 8 yrs Leap Finance - HR Business Partner Posted 1 week ago      2026-02-07 20:18:24  Leap Finance - HR Business Partner https://www.iimjobs.com/j/leap-finance-hr-business-partner-1670111?ref=sp_br_prm&jobPos=5   Leap Finance - HR Business Partner 4 - 8 yrs Mumbai Posted 1 week ago      2026-02-07 20:18:24  Leap Finance - HR Business Partner https://www.iimjobs.com/j/leap-finance-hr-business-partner-1670111?ref=sp_br_prm&jobPos=5,2026-01-31
Perfetti Van Melle Factory HR Head 15,18 yrs Perfetti Van Melle - Factory HR Head Posted 1 week ago      2026-02-07 20:18:24  Perfetti Van Melle - Factory HR Head https://www.iimjobs.com/j/perfetti-van-melle-factory-hr-head-1669363?ref=sp_br_prm&jobPos=6 4.2 988+ Reviews Perfetti Van Melle - Factory HR Head,15 - 18 yrs,Chennai,Posted 1 week ago      2026-02-07 20:18:24  Perfetti Van Melle - Factory HR Head https://www.iimjobs.com/j/perfetti-van-melle-factory-hr-head-1669363?ref=sp_br_prm&jobPos=6,4.2,988,Perfetti Van Melle Factory HR Head 15 - 18 yrs Perfetti Van Melle - Factory HR Head Posted 1 week ago      2026-02-07 20:18:24  Perfetti Van Melle - Factory HR Head https://www.iimjobs.com/j/perfetti-van-melle-factory-hr-head-1669363?ref=sp_br_prm&jobPos=6 4.2 988+ Reviews Perfetti Van Melle - Factory HR Head 15 - 18 yrs Chennai 4.2 988+ Reviews Posted 1 week ago      2026-02-07 20:18:24  Perfetti Van Melle - Factory HR Head https://www.iimjobs.com/j/perfetti-van-melle-factory-hr-head-1669363?ref=sp_br_prm&jobPos=6,2026-01-31
Strategic Leader HR Business Partner 3,7 yrs Strategic Leader - HR Business Partner Posted 1 week ago      2026-02-07 20:18:24  Strategic Leader - HR Business Partner https://www.iimjobs.com/j/strategic-leader-hr-business-partner-1668942?ref=sp_prm&jobPos=7 4.1 4+ Reviews Strategic Leader - HR Business Partner,3 - 7 yrs,Mumbai,Posted 1 week ago      2026-02-07 20:18:24  Strategic Leader - HR Business Partner https://www.iimjobs.com/j/strategic-leader-hr-business-partner-1668942?ref=sp_prm&jobPos=7,4.1,4,Strategic Leader HR Business Partner 3 - 7 yrs Strategic Leader - HR Business Partner Posted 1 week ago      2026-02-07 20:18:24  Strategic Leader - HR Business Partner https://www.iimjobs.com/j/strategic-leader-hr-business-partner-1668942?ref=sp_prm&jobPos=7 4.1 4+ Reviews Strategic Leader - HR Business Partner 3 - 7 yrs Mumbai 4.1 4+ Reviews Posted 1 week ago      2026-02-07 20:18:24  Strategic Leader - HR Business Partner https://www.iimjobs.com/j/strategic-leader-hr-business-partner-1668942?ref=sp_prm&jobPos=7,2026-01-31
Regional HR Business Partner Manufacturing,South West Asia 12 - 15 yrs Regional HR Business Partner - Manufacturing - South West Asia Posted 1 week ago      2026-02-07 20:18:25  Regional HR Business Partner - Manufacturing - South West Asia https://www.iimjobs.com/j/regional-hr-business-partner-manufacturing-south-west-asia-1669493?ref=sp_prm&jobPos=8   Regional HR Business Partner - Manufacturing - South West Asia,12 - 15 yrs,Gurgaon/Gurugram,Posted 1 week ago      2026-02-07 20:18:25  Regional HR Business Partner - Manufacturing - South West Asia https://www.iimjobs.com/j/regional-hr-business-partner-manufacturing-south-west-asia-1669493?ref=sp_prm&jobPos=8,,,Regional HR Business Partner Manufacturing - South West Asia 12 - 15 yrs Regional HR Business Partner - Manufacturing - South West Asia Posted 1 week ago      2026-02-07 20:18:25  Regional HR Business Partner - Manufacturing - South West Asia https://www.iimjobs.com/j/regional-hr-business-partner-manufacturing-south-west-asia-1669493?ref=sp_prm&jobPos=8   Regional HR Business Partner - Manufacturing - South West Asia 12 - 15 yrs Gurgaon/Gurugram Posted 1 week ago      2026-02-07 20:18:25  Regional HR Business Partner - Manufacturing - South West Asia https://www.iimjobs.com/j/regional-hr-business-partner-manufacturing-south-west-asia-1669493?ref=sp_prm&jobPos=8,2026-01-31
Lead HR Business Partner + Talent Acquisition,Startup 8 - 14 yrs Lead - HR Business Partner + Talent Acquisition - Startup Posted 1 day ago      2026-02-07 20:18:25 Talent Acquisition Lead - HR Business Partner + Talent Acquisition - Startup https://www.iimjobs.com/j/lead-hr-business-partner-talent-acquisition-startup-1672755?ref=sp_prm&jobPos=9   Lead - HR Business Partner + Talent Acquisition - Startup,8 - 14 yrs,Delhi,Posted 1 day ago      2026-02-07 20:18:25 Talent Acquisition Lead - HR Business Partner + Talent Acquisition - Startup https://www.iimjobs.com/j/lead-hr-business-partner-talent-acquisition-startup-1672755?ref=sp_prm&jobPos=9,,,Lead HR Business Partner + Talent Acquisition - Startup 8 - 14 yrs Lead - HR Business Partner + Talent Acquisition - Startup Posted 1 day ago      2026-02-07 20:18:25 Talent Acquisition Lead - HR Business Partner + Talent Acquisition - Startup https://www.iimjobs.com/j/lead-hr-business-partner-talent-acquisition-startup-1672755?ref=sp_prm&jobPos=9   Lead - HR Business Partner + Talent Acquisition - Startup 8 - 14 yrs Delhi Posted 1 day ago      2026-02-07 20:18:25 Talent Acquisition Lead - HR Business Partner + Talent Acquisition - Startup https://www.iimjobs.com/j/lead-hr-business-partner-talent-acquisition-startup-1672755?ref=sp_prm&jobPos=9,2026-02-06
Max Estates HR Specialist,Compensation/Benefits & Total Rewards 3 - 4 yrs Max Estates - HR Specialist - Compensation/Benefits & Total Rewards Posted 1 week ago      2026-02-07 20:18:26 Compensation Max Estates - HR Specialist - Compensation/Benefits & Total Rewards https://www.iimjobs.com/j/max-estates-hr-specialist-compensation-benefits-and-total-rewards-1669065?ref=sp_prm&jobPos=10 4.4 52+ Reviews Max Estates - HR Specialist - Compensation/Benefits & Total Rewards,3 - 4 yrs,Noida/Gurgaon/Gurugram,Posted 1 week ago      2026-02-07 20:18:26 Compensation Max Estates - HR Specialist - Compensation/Benefits & Total Rewards https://www.iimjobs.com/j/max-estates-hr-specialist-compensation-benefits-and-total-rewards-1669065?ref=sp_prm&jobPos=10,4.4,52,Max Estates HR Specialist - Compensation/Benefits & Total Rewards 3 - 4 yrs Max Estates - HR Specialist - Compensation/Benefits & Total Rewards Posted 1 week ago      2026-02-07 20:18:26 Compensation Max Estates - HR Specialist - Compensation/Benefits & Total Rewards https://www.iimjobs.com/j/max-estates-hr-specialist-compensation-benefits-and-total-rewards-1669065?ref=sp_prm&jobPos=10 4.4 52+ Reviews Max Estates - HR Specialist - Compensation/Benefits & Total Rewards 3 - 4 yrs Noida/Gurgaon/Gurugram 4.4 52+ Reviews Posted 1 week ago      2026-02-07 20:18:26 Compensation Max Estates - HR Specialist - Compensation/Benefits & Total Rewards https://www.iimjobs.com/j/max-estates-hr-specialist-compensation-benefits-and-total-rewards-1669065?ref=sp_prm&jobPos=10,2026-01-31
Assistant Manager HR Business Partner Sales,FMCG/Personal Care 2 - 8 yrs Assistant Manager - HR Business Partner Sales - FMCG/Personal Care Posted 2 weeks ago      2026-02-07 20:18:27  Assistant Manager - HR Business Partner Sales - FMCG/Personal Care https://www.iimjobs.com/j/assistant-manager-hr-business-partner-sales-fmcg-personal-care-1668149?ref=sp_prm&jobPos=11 4.4 147+ Reviews Assistant Manager - HR Business Partner Sales - FMCG/Personal Care,2 - 8 yrs,Mumbai,Posted 2 weeks ago      2026-02-07 20:18:27  Assistant Manager - HR Business Partner Sales - FMCG/Personal Care https://www.iimjobs.com/j/assistant-manager-hr-business-partner-sales-fmcg-personal-care-1668149?ref=sp_prm&jobPos=11,4.4,147,Assistant Manager HR Business Partner Sales - FMCG/Personal Care 2 - 8 yrs Assistant Manager - HR Business Partner Sales - FMCG/Personal Care Posted 2 weeks ago      2026-02-07 20:18:27  Assistant Manager - HR Business Partner Sales - FMCG/Personal Care https://www.iimjobs.com/j/assistant-manager-hr-business-partner-sales-fmcg-personal-care-1668149?ref=sp_prm&jobPos=11 4.4 147+ Reviews Assistant Manager - HR Business Partner Sales - FMCG/Personal Care 2 - 8 yrs Mumbai 4.4 147+ Reviews Posted 2 weeks ago      2026-02-07 20:18:27  Assistant Manager - HR Business Partner Sales - FMCG/Personal Care https://www.iimjobs.com/j/assistant-manager-hr-business-partner-sales-fmcg-personal-care-1668149?ref=sp_prm&jobPos=11,2026-01-24
Senior Manager/Assistant General Manager Plant HR,Industrial & Manufacturing Sector 9 - 14 yrs Senior Manager/Assistant General Manager - Plant HR - Industrial & Manufacturing Sector Posted 5 days ago      2026-02-07 20:18:27  Senior Manager/Assistant General Manager - Plant HR - Industrial & Manufacturing Sector https://www.iimjobs.com/j/senior-manager-assistant-general-manager-plant-hr-industrial-and-manufacturing-sector-1671148?ref=sp_prm&jobPos=12   Senior Manager/Assistant General Manager - Plant HR - Industrial & Manufacturing Sector,9 - 14 yrs,Ludhiana/Punjab,Posted 5 days ago      2026-02-07 20:18:27  Senior Manager/Assistant General Manager - Plant HR - Industrial & Manufacturing Sector https://www.iimjobs.com/j/senior-manager-assistant-general-manager-plant-hr-industrial-and-manufacturing-sector-1671148?ref=sp_prm&jobPos=12,,,Senior Manager/Assistant General Manager Plant HR - Industrial & Manufacturing Sector 9 - 14 yrs Senior Manager/Assistant General Manager - Plant HR - Industrial & Manufacturing Sector Posted 5 days ago      2026-02-07 20:18:27  Senior Manager/Assistant General Manager - Plant HR - Industrial & Manufacturing Sector https://www.iimjobs.com/j/senior-manager-assistant-general-manager-plant-hr-industrial-and-manufacturing-sector-1671148?ref=sp_prm&jobPos=12   Senior Manager/Assistant General Manager - Plant HR - Industrial & Manufacturing Sector 9 - 14 yrs Ludhiana/Punjab Posted 5 days ago      2026-02-07 20:18:27  Senior Manager/Assistant General Manager - Plant HR - Industrial & Manufacturing Sector https://www.iimjobs.com/j/senior-manager-assistant-general-manager-plant-hr-industrial-and-manufacturing-sector-1671148?ref=sp_prm&jobPos=12,2026-02-02
Human Capital Consulting Role HR Advisory/HR Transformation/HR Shared Services/Organization Design,Big4/Consulting 12 - 20 yrs Human Capital Consulting Role - HR Advisory/HR Transformation/HR Shared Services/Organization Design - Big4/Consulting Posted 2 weeks ago      2026-02-07 20:18:27  Human Capital Consulting Role - HR Advisory/HR Transformation/HR Shared Services/Organization Design - Big4/Consulting https://www.iimjobs.com/j/human-capital-consulting-role-hr-advisory-hr-transformation-hr-shared-services-organization-design-big4-consulting-1667839?ref=sp_prm&jobPos=13   Human Capital Consulting Role - HR Advisory/HR Transformation/HR Shared Services/Organization Design - Big4/Consulting,12 - 20 yrs,Multiple Locations,Posted 2 weeks ago      2026-02-07 20:18:27  Human Capital Consulting Role - HR Advisory/HR Transformation/HR Shared Services/Organization Design - Big4/Consulting https://www.iimjobs.com/j/human-capital-consulting-role-hr-advisory-hr-transformation-hr-shared-services-organization-design-big4-consulting-1667839?ref=sp_prm&jobPos=13,,,Human Capital Consulting Role HR Advisory/HR Transformation/HR Shared Services/Organization Design - Big4/Consulting 12 - 20 yrs Human Capital Consulting Role - HR Advisory/HR Transformation/HR Shared Services/Organization Design - Big4/Consulting Posted 2 weeks ago      2026-02-07 20:18:27  Human Capital Consulting Role - HR Advisory/HR Transformation/HR Shared Services/Organization Design - Big4/Consulting https://www.iimjobs.com/j/human-capital-consulting-role-hr-advisory-hr-transformation-hr-shared-services-organization-design-big4-consulting-1667839?ref=sp_prm&jobPos=13   Human Capital Consulting Role - HR Advisory/HR Transformation/HR Shared Services/Organization Design - Big4/Consulting 12 - 20 yrs Multiple Locations Posted 2 weeks ago      2026-02-07 20:18:27  Human Capital Consulting Role - HR Advisory/HR Transformation/HR Shared Services/Organization Design - Big4/Consulting https://www.iimjobs.com/j/human-capital-consulting-role-hr-advisory-hr-transformation-hr-shared-services-organization-design-big4-consulting-1667839?ref=sp_prm&jobPos=13,2026-01-24
Leadership Role HR Shared Services 18,25 yrs Leadership Role - HR Shared Services Posted 4 days ago      2026-02-07 20:18:28  Leadership Role - HR Shared Services https://www.iimjobs.com/j/leadership-role-hr-shared-services-1671423?ref=sp_br_prm&jobPos=14   Leadership Role - HR Shared Services,18 - 25 yrs,Gurgaon/Gurugram,Posted 4 days ago      2026-02-07 20:18:28  Leadership Role - HR Shared Services https://www.iimjobs.com/j/leadership-role-hr-shared-services-1671423?ref=sp_br_prm&jobPos=14,,,Leadership Role HR Shared Services 18 - 25 yrs Leadership Role - HR Shared Services Posted 4 days ago      2026-02-07 20:18:28  Leadership Role - HR Shared Services https://www.iimjobs.com/j/leadership-role-hr-shared-services-1671423?ref=sp_br_prm&jobPos=14   Leadership Role - HR Shared Services 18 - 25 yrs Gurgaon/Gurugram Posted 4 days ago      2026-02-07 20:18:28  Leadership Role - HR Shared Services https://www.iimjobs.com/j/leadership-role-hr-shared-services-1671423?ref=sp_br_prm&jobPos=14,2026-02-03
Director HR Business Partner,Media Startup 8 - 10 yrs Director - HR Business Partner - Media Startup Posted 2 days ago      2026-02-07 20:18:28  Director - HR Business Partner - Media Startup https://www.iimjobs.com/j/director-hr-business-partner-media-startup-1672208?ref=sp_prm&jobPos=15   Director - HR Business Partner - Media Startup,8 - 10 yrs,Bangalore,Posted 2 days ago      2026-02-07 20:18:28  Director - HR Business Partner - Media Startup https://www.iimjobs.com/j/director-hr-business-partner-media-startup-1672208?ref=sp_prm&jobPos=15,,,Director HR Business Partner - Media Startup 8 - 10 yrs Director - HR Business Partner - Media Startup Posted 2 days ago      2026-02-07 20:18:28  Director - HR Business Partner - Media Startup https://www.iimjobs.com/j/director-hr-business-partner-media-startup-1672208?ref=sp_prm&jobPos=15   Director - HR Business Partner - Media Startup 8 - 10 yrs Bangalore Posted 2 days ago      2026-02-07 20:18:28  Director - HR Business Partner - Media Startup https://www.iimjobs.com/j/director-hr-business-partner-media-startup-1672208?ref=sp_prm&jobPos=15,2026-02-05
BIK HR Generalist 4,6 yrs BIK - HR Generalist Posted 3 days ago      2026-02-07 20:18:29  BIK - HR Generalist https://www.iimjobs.com/j/bik-hr-generalist-1672089?ref=sp_br&jobPos=16   BIK - HR Generalist,4 - 6 yrs,Bangalore,Posted 3 days ago      2026-02-07 20:18:29  BIK - HR Generalist https://www.iimjobs.com/j/bik-hr-generalist-1672089?ref=sp_br&jobPos=16,,,BIK HR Generalist 4 - 6 yrs BIK - HR Generalist Posted 3 days ago      2026-02-07 20:18:29  BIK - HR Generalist https://www.iimjobs.com/j/bik-hr-generalist-1672089?ref=sp_br&jobPos=16   BIK - HR Generalist 4 - 6 yrs Bangalore Posted 3 days ago      2026-02-07 20:18:29  BIK - HR Generalist https://www.iimjobs.com/j/bik-hr-generalist-1672089?ref=sp_br&jobPos=16,2026-02-04
Broadridge HR Portfolio Lead/HR Program Manager 8,"12 yrs Broadridge - HR Portfolio Lead/HR Program Manager Posted 2 weeks ago      2026-02-07 20:18:29  Broadridge - HR Portfolio Lead/HR Program Manager https://www.iimjobs.com/j/broadridge-hr-portfolio-lead-hr-program-manager-1666900?ref=sp_br&jobPos=17 3.8 1,515+ Reviews Broadridge - HR Portfolio Lead/HR Program Manager",8 - 12 yrs,Bangalore,Posted 2 weeks ago      2026-02-07 20:18:29  Broadridge - HR Portfolio Lead/HR Program Manager https://www.iimjobs.com/j/broadridge-hr-portfolio-lead-hr-program-manager-1666900?ref=sp_br&jobPos=17,3.8,1515,"Broadridge HR Portfolio Lead/HR Program Manager 8 - 12 yrs Broadridge - HR Portfolio Lead/HR Program Manager Posted 2 weeks ago      2026-02-07 20:18:29  Broadridge - HR Portfolio Lead/HR Program Manager https://www.iimjobs.com/j/broadridge-hr-portfolio-lead-hr-program-manager-1666900?ref=sp_br&jobPos=17 3.8 1,515+ Reviews Broadridge - HR Portfolio Lead/HR Program Manager 8 - 12 yrs Bangalore 3.8 1,515+ Reviews Posted 2 weeks ago      2026-02-07 20:18:29  Broadridge - HR Portfolio Lead/HR Program Manager https://www.iimjobs.com/j/broadridge-hr-portfolio-lead-hr-program-manager-1666900?ref=sp_br&jobPos=17",2026-01-24
Hexaware HR Generalist 7,13 yrs Hexaware - HR Generalist Posted 4 weeks ago      2026-02-07 20:18:29  Hexaware - HR Generalist https://www.iimjobs.com/j/hexaware-hr-generalist-1661303?ref=sp_br&jobPos=18   Hexaware - HR Generalist,7 - 13 yrs,Pune,Posted 4 weeks ago      2026-02-07 20:18:29  Hexaware - HR Generalist https://www.iimjobs.com/j/hexaware-hr-generalist-1661303?ref=sp_br&jobPos=18,,,Hexaware HR Generalist 7 - 13 yrs Hexaware - HR Generalist Posted 4 weeks ago      2026-02-07 20:18:29  Hexaware - HR Generalist https://www.iimjobs.com/j/hexaware-hr-generalist-1661303?ref=sp_br&jobPos=18   Hexaware - HR Generalist 7 - 13 yrs Pune Posted 4 weeks ago      2026-02-07 20:18:29  Hexaware - HR Generalist https://www.iimjobs.com/j/hexaware-hr-generalist-1661303?ref=sp_br&jobPos=18,2026-01-10
Flipkart Cluster HR Lead 6,"10 yrs Flipkart - Cluster HR Lead Posted 4 weeks ago      2026-02-07 20:18:30  Flipkart - Cluster HR Lead https://www.iimjobs.com/j/flipkart-cluster-hr-lead-1661651?ref=sp_br&jobPos=19 3.9 12,617+ Reviews Flipkart - Cluster HR Lead",6 - 10 yrs,Guwahati,Posted 4 weeks ago      2026-02-07 20:18:30  Flipkart - Cluster HR Lead https://www.iimjobs.com/j/flipkart-cluster-hr-lead-1661651?ref=sp_br&jobPos=19,3.9,12617,"Flipkart Cluster HR Lead 6 - 10 yrs Flipkart - Cluster HR Lead Posted 4 weeks ago      2026-02-07 20:18:30  Flipkart - Cluster HR Lead https://www.iimjobs.com/j/flipkart-cluster-hr-lead-1661651?ref=sp_br&jobPos=19 3.9 12,617+ Reviews Flipkart - Cluster HR Lead 6 - 10 yrs Guwahati 3.9 12,617+ Reviews Posted 4 weeks ago      2026-02-07 20:18:30  Flipkart - Cluster HR Lead https://www.iimjobs.com/j/flipkart-cluster-hr-lead-1661651?ref=sp_br&jobPos=19",2026-01-10
Broadridge HR Business Partner 14,"18 yrs Broadridge - HR Business Partner Posted 2 weeks ago      2026-02-07 20:18:30  Broadridge - HR Business Partner https://www.iimjobs.com/j/broadridge-hr-business-partner-1666897?ref=sp_br&jobPos=20 3.8 1,515+ Reviews Broadridge - HR Business Partner",14 - 18 yrs,Hyderabad/Bangalore,Posted 2 weeks ago      2026-02-07 20:18:30  Broadridge - HR Business Partner https://www.iimjobs.com/j/broadridge-hr-business-partner-1666897?ref=sp_br&jobPos=20,3.8,1515,"Broadridge HR Business Partner 14 - 18 yrs Broadridge - HR Business Partner Posted 2 weeks ago      2026-02-07 20:18:30  Broadridge - HR Business Partner https://www.iimjobs.com/j/broadridge-hr-business-partner-1666897?ref=sp_br&jobPos=20 3.8 1,515+ Reviews Broadridge - HR Business Partner 14 - 18 yrs Hyderabad/Bangalore 3.8 1,515+ Reviews Posted 2 weeks ago      2026-02-07 20:18:30  Broadridge - HR Business Partner https://www.iimjobs.com/j/broadridge-hr-business-partner-1666897?ref=sp_br&jobPos=20",2026-01-24
nurture.farm Sales HR Professional 6,9 yrs nurture.farm - Sales HR Professional Posted 2 weeks ago      2026-02-07 20:18:31  nurture.farm - Sales HR Professional https://www.iimjobs.com/j/nurturefarm-sales-hr-professional-1665601?ref=sp_br&jobPos=21   nurture.farm - Sales HR Professional,6 - 9 yrs,Navi Mumbai/Mumbai,Posted 2 weeks ago      2026-02-07 20:18:31  nurture.farm - Sales HR Professional https://www.iimjobs.com/j/nurturefarm-sales-hr-professional-1665601?ref=sp_br&jobPos=21,,,nurture.farm Sales HR Professional 6 - 9 yrs nurture.farm - Sales HR Professional Posted 2 weeks ago      2026-02-07 20:18:31  nurture.farm - Sales HR Professional https://www.iimjobs.com/j/nurturefarm-sales-hr-professional-1665601?ref=sp_br&jobPos=21   nurture.farm - Sales HR Professional 6 - 9 yrs Navi Mumbai/Mumbai Posted 2 weeks ago      2026-02-07 20:18:31  nurture.farm - Sales HR Professional https://www.iimjobs.com/j/nurturefarm-sales-hr-professional-1665601?ref=sp_br&jobPos=21,2026-01-24
WheelsEye HR Business Partner,Tech 4 - 12 yrs WheelsEye - HR Business Partner - Tech Posted 3 weeks ago      2026-02-07 20:18:31  WheelsEye - HR Business Partner - Tech https://www.iimjobs.com/j/wheelseye-hr-business-partner-tech-1663389?ref=sp_br&jobPos=22   WheelsEye - HR Business Partner - Tech,4 - 12 yrs,Gurgaon/Gurugram,Posted 3 weeks ago      2026-02-07 20:18:31  WheelsEye - HR Business Partner - Tech https://www.iimjobs.com/j/wheelseye-hr-business-partner-tech-1663389?ref=sp_br&jobPos=22,,,WheelsEye HR Business Partner - Tech 4 - 12 yrs WheelsEye - HR Business Partner - Tech Posted 3 weeks ago      2026-02-07 20:18:31  WheelsEye - HR Business Partner - Tech https://www.iimjobs.com/j/wheelseye-hr-business-partner-tech-1663389?ref=sp_br&jobPos=22   WheelsEye - HR Business Partner - Tech 4 - 12 yrs Gurgaon/Gurugram Posted 3 weeks ago      2026-02-07 20:18:31  WheelsEye - HR Business Partner - Tech https://www.iimjobs.com/j/wheelseye-hr-business-partner-tech-1663389?ref=sp_br&jobPos=22,2026-01-17
InMobi Senior HR Business Partner 6,13 yrs InMobi - Senior HR Business Partner Posted 2 weeks ago      2026-02-07 20:18:31  InMobi - Senior HR Business Partner https://www.iimjobs.com/j/inmobi-senior-hr-business-partner-1667280?ref=sp_br&jobPos=23   InMobi - Senior HR Business Partner,6 - 13 yrs,Bangalore,Posted 2 weeks ago      2026-02-07 20:18:31  InMobi - Senior HR Business Partner https://www.iimjobs.com/j/inmobi-senior-hr-business-partner-1667280?ref=sp_br&jobPos=23,,,InMobi Senior HR Business Partner 6 - 13 yrs InMobi - Senior HR Business Partner Posted 2 weeks ago      2026-02-07 20:18:31  InMobi - Senior HR Business Partner https://www.iimjobs.com/j/inmobi-senior-hr-business-partner-1667280?ref=sp_br&jobPos=23   InMobi - Senior HR Business Partner 6 - 13 yrs Bangalore Posted 2 weeks ago      2026-02-07 20:18:31  InMobi - Senior HR Business Partner https://www.iimjobs.com/j/inmobi-senior-hr-business-partner-1667280?ref=sp_br&jobPos=23,2026-01-24
