company,title,experience,location,posted_relative,rating,reviews,raw_text,posted_date
Senior HR Manager FMCD/Manufacturing Industry,APAC Region 8 - 15 yrs Senior HR Manager - FMCD/Manufacturing Industry - APAC Region Posted 2 weeks ago      2026-02-07 20:25:19  Senior HR Manager - FMCD/Manufacturing Industry - APAC Region https://www.iimjobs.com/j/senior-hr-manager-fmcd-manufacturing-industry-apac-region-1668016?ref=sp&jobPos=98   Senior HR Manager - FMCD/Manufacturing Industry - APAC Region,8 - 15 yrs,Mumbai,Posted 2 weeks ago      2026-02-07 20:25:19  Senior HR Manager - FMCD/Manufacturing Industry - APAC Region https://www.iimjobs.com/j/senior-hr-manager-fmcd-manufacturing-industry-apac-region-1668016?ref=sp&jobPos=98,,,Senior HR Manager FMCD/Manufacturing Industry - APAC Region 8 - 15 yrs Senior HR Manager - FMCD/Manufacturing Industry - APAC Region Posted 2 weeks ago      2026-02-07 20:25:19  Senior HR Manager - FMCD/Manufacturing Industry - APAC Region https://www.iimjobs.com/j/senior-hr-manager-fmcd-manufacturing-industry-apac-region-1668016?ref=sp&jobPos=98   Senior HR Manager - FMCD/Manufacturing Industry - APAC Region 8 - 15 yrs Mumbai Posted 2 weeks ago      2026-02-07 20:25:19  Senior HR Manager - FMCD/Manufacturing Industry - APAC Region https://www.iimjobs.com/j/senior-hr-manager-fmcd-manufacturing-industry-apac-region-1668016?ref=sp&jobPos=98,2026-01-24
Head HR Operations,Logistics Firm 15 - 22 yrs Head - HR Operations - Logistics Firm Posted 3 weeks ago      2026-02-07 20:25:19 HR Operations Head - HR Operations - Logistics Firm https://www.iimjobs.com/j/head-hr-operations-logistics-firm-1662648?ref=sp&jobPos=99   Head - HR Operations - Logistics Firm,15 - 22 yrs,Mumbai,Posted 3 weeks ago      2026-02-07 20:25:19 HR Operations Head - HR Operations - Logistics Firm https://www.iimjobs.com/j/head-hr-operations-logistics-firm-1662648?ref=sp&jobPos=99,,,Head HR Operations - Logistics Firm 15 - 22 yrs Head - HR Operations - Logistics Firm Posted 3 weeks ago      2026-02-07 20:25:19 HR Operations Head - HR Operations - Logistics Firm https://www.iimjobs.com/j/head-hr-operations-logistics-firm-1662648?ref=sp&jobPos=99   Head - HR Operations - Logistics Firm 15 - 22 yrs Mumbai Posted 3 weeks ago      2026-02-07 20:25:19 HR Operations Head - HR Operations - Logistics Firm https://www.iimjobs.com/j/head-hr-operations-logistics-firm-1662648?ref=sp&jobPos=99,2026-01-17
Senior HR Executive Payroll,Retail 5 - 10 yrs Senior HR Executive - Payroll - Retail Posted 2 weeks ago      2026-02-07 20:25:20 Payroll Senior HR Executive - Payroll - Retail https://www.iimjobs.com/j/senior-hr-executive-payroll-retail-1667510?ref=sp&jobPos=100   Senior HR Executive - Payroll - Retail,5 - 10 yrs,Chandigarh/Haryana/Punjab,Posted 2 weeks ago      2026-02-07 20:25:20 Payroll Senior HR Executive - Payroll - Retail https://www.iimjobs.com/j/senior-hr-executive-payroll-retail-1667510?ref=sp&jobPos=100,,,Senior HR Executive Payroll - Retail 5 - 10 yrs Senior HR Executive - Payroll - Retail Posted 2 weeks ago      2026-02-07 20:25:20 Payroll Senior HR Executive - Payroll - Retail https://www.iimjobs.com/j/senior-hr-executive-payroll-retail-1667510?ref=sp&jobPos=100   Senior HR Executive - Payroll - Retail 5 - 10 yrs Chandigarh/Haryana/Punjab Posted 2 weeks ago      2026-02-07 20:25:20 Payroll Senior HR Executive - Payroll - Retail https://www.iimjobs.com/j/senior-hr-executive-payroll-retail-1667510?ref=sp&jobPos=100,2026-01-24
Senior Manager HR Business Partner,Insurance 13 - 18 yrs Senior Manager - HR Business Partner - Insurance Posted 3 days ago      2026-02-07 20:25:55  Senior Manager - HR Business Partner - Insurance https://www.iimjobs.com/j/senior-manager-hr-business-partner-insurance-1671867?ref=sp&jobPos=51   Senior Manager - HR Business Partner - Insurance,13 - 18 yrs,Pune/Bangalore,Posted 3 days ago      2026-02-07 20:25:55  Senior Manager - HR Business Partner - Insurance https://www.iimjobs.com/j/senior-manager-hr-business-partner-insurance-1671867?ref=sp&jobPos=51,,,Senior Manager HR Business Partner - Insurance 13 - 18 yrs Senior Manager - HR Business Partner - Insurance Posted 3 days ago      2026-02-07 20:25:55  Senior Manager - HR Business Partner - Insurance https://www.iimjobs.com/j/senior-manager-hr-business-partner-insurance-1671867?ref=sp&jobPos=51   Senior Manager - HR Business Partner - Insurance 13 - 18 yrs Pune/Bangalore Posted 3 days ago      2026-02-07 20:25:55  Senior Manager - HR Business Partner - Insurance https://www.iimjobs.com/j/senior-manager-hr-business-partner-insurance-1671867?ref=sp&jobPos=51,2026-02-04
Senior Manager Global HR Operations,EduTech 10 - 12 yrs Senior Manager - Global HR Operations - EduTech Posted 4 days ago      2026-02-07 20:25:55 HR Operations Senior Manager - Global HR Operations - EduTech https://www.iimjobs.com/j/senior-manager-global-hr-operations-edutech-1671579?ref=sp&jobPos=52 4 25+ Reviews Senior Manager - Global HR Operations - EduTech,10 - 12 yrs,Delhi NCR,Posted 4 days ago      2026-02-07 20:25:55 HR Operations Senior Manager - Global HR Operations - EduTech https://www.iimjobs.com/j/senior-manager-global-hr-operations-edutech-1671579?ref=sp&jobPos=52,4.0,25,Senior Manager Global HR Operations - EduTech 10 - 12 yrs Senior Manager - Global HR Operations - EduTech Posted 4 days ago      2026-02-07 20:25:55 HR Operations Senior Manager - Global HR Operations - EduTech https://www.iimjobs.com/j/senior-manager-global-hr-operations-edutech-1671579?ref=sp&jobPos=52 4 25+ Reviews Senior Manager - Global HR Operations - EduTech 10 - 12 yrs Delhi NCR 4 25+ Reviews Posted 4 days ago      2026-02-07 20:25:55 HR Operations Senior Manager - Global HR Operations - EduTech https://www.iimjobs.com/j/senior-manager-global-hr-operations-edutech-1671579?ref=sp&jobPos=52,2026-02-03
SuccessFactor HR Operations Role 6,10 yrs Pune Posted 3 weeks ago      2026-02-07 20:25:56 HR Operations SuccessFactor HR Operations Role https://www.iimjobs.com/j/successfactor-hr-operations-role-1663977?ref=sp&jobPos=53   SuccessFactor HR Operations Role,6 - 10 yrs,Pune,Posted 3 weeks ago      2026-02-07 20:25:56 HR Operations SuccessFactor HR Operations Role https://www.iimjobs.com/j/successfactor-hr-operations-role-1663977?ref=sp&jobPos=53,,,SuccessFactor HR Operations Role 6 - 10 yrs Pune Posted 3 weeks ago      2026-02-07 20:25:56 HR Operations SuccessFactor HR Operations Role https://www.iimjobs.com/j/successfactor-hr-operations-role-1663977?ref=sp&jobPos=53   SuccessFactor HR Operations Role 6 - 10 yrs Pune Posted 3 weeks ago      2026-02-07 20:25:56 HR Operations SuccessFactor HR Operations Role https://www.iimjobs.com/j/successfactor-hr-operations-role-1663977?ref=sp&jobPos=53,2026-01-17
Head Plant HR & IR,Manufacturing Firm 13 - 20 yrs Head - Plant HR & IR - Manufacturing Firm Posted 2 weeks ago      2026-02-07 20:25:56  Head - Plant HR & IR - Manufacturing Firm https://www.iimjobs.com/j/head-plant-hr-and-ir-manufacturing-firm-1666947?ref=sp&jobPos=54   Head - Plant HR & IR - Manufacturing Firm,13 - 20 yrs,Navi Mumbai,Posted 2 weeks ago      2026-02-07 20:25:56  Head - Plant HR & IR - Manufacturing Firm https://www.iimjobs.com/j/head-plant-hr-and-ir-manufacturing-firm-1666947?ref=sp&jobPos=54,,,Head Plant HR & IR - Manufacturing Firm 13 - 20 yrs Head - Plant HR & IR - Manufacturing Firm Posted 2 weeks ago      2026-02-07 20:25:56  Head - Plant HR & IR - Manufacturing Firm https://www.iimjobs.com/j/head-plant-hr-and-ir-manufacturing-firm-1666947?ref=sp&jobPos=54   Head - Plant HR & IR - Manufacturing Firm 13 - 20 yrs Navi Mumbai Posted 2 weeks ago      2026-02-07 20:25:56  Head - Plant HR & IR - Manufacturing Firm https://www.iimjobs.com/j/head-plant-hr-and-ir-manufacturing-firm-1666947?ref=sp&jobPos=54,2026-01-24
Senior Role HR Operations 15,20 yrs Senior Role - HR Operations Posted 3 weeks ago      2026-02-07 20:25:57 HR Operations Senior Role - HR Operations https://www.iimjobs.com/j/senior-role-hr-operations-1662731?ref=sp&jobPos=55   Senior Role - HR Operations,15 - 20 yrs,Delhi,Posted 3 weeks ago      2026-02-07 20:25:57 HR Operations Senior Role - HR Operations https://www.iimjobs.com/j/senior-role-hr-operations-1662731?ref=sp&jobPos=55,,,Senior Role HR Operations 15 - 20 yrs Senior Role - HR Operations Posted 3 weeks ago      2026-02-07 20:25:57 HR Operations Senior Role - HR Operations https://www.iimjobs.com/j/senior-role-hr-operations-1662731?ref=sp&jobPos=55   Senior Role - HR Operations 15 - 20 yrs Delhi Posted 3 weeks ago      2026-02-07 20:25:57 HR Operations Senior Role - HR Operations https://www.iimjobs.com/j/senior-role-hr-operations-1662731?ref=sp&jobPos=55,2026-01-17
HR Business Partner Dog Food Business 10,15 yrs HR Business Partner - Dog Food Business Posted 4 weeks ago      2026-02-07 20:25:57  HR Business Partner - Dog Food Business https://www.iimjobs.com/j/hr-business-partner-dog-food-business-1662000?ref=sp&jobPos=56   HR Business Partner - Dog Food Business,10 - 15 yrs,Mumbai,Posted 4 weeks ago      2026-02-07 20:25:57  HR Business Partner - Dog Food Business https://www.iimjobs.com/j/hr-business-partner-dog-food-business-1662000?ref=sp&jobPos=56,,,HR Business Partner Dog Food Business 10 - 15 yrs HR Business Partner - Dog Food Business Posted 4 weeks ago      2026-02-07 20:25:57  HR Business Partner - Dog Food Business https://www.iimjobs.com/j/hr-business-partner-dog-food-business-1662000?ref=sp&jobPos=56   HR Business Partner - Dog Food Business 10 - 15 yrs Mumbai Posted 4 weeks ago      2026-02-07 20:25:57  HR Business Partner - Dog Food Business https://www.iimjobs.com/j/hr-business-partner-dog-food-business-1662000?ref=sp&jobPos=56,2026-01-10
HR Manager Learning & Development,Financial Services 5 - 10 yrs HR Manager - Learning & Development - Financial Services Posted 2 weeks ago      2026-02-07 20:25:58 Learning & Development HR Manager - Learning & Development - Financial Services https://www.iimjobs.com/j/hr-manager-learning-and-development-financial-services-1665611?ref=sp&jobPos=57 5 4+ Reviews HR Manager - Learning & Development - Financial Services,5 - 10 yrs,Mumbai,Posted 2 weeks ago      2026-02-07 20:25:58 Learning & Development HR Manager - Learning & Development - Financial Services https://www.iimjobs.com/j/hr-manager-learning-and-development-financial-services-1665611?ref=sp&jobPos=57,5.0,4,HR Manager Learning & Development - Financial Services 5 - 10 yrs HR Manager - Learning & Development - Financial Services Posted 2 weeks ago      2026-02-07 20:25:58 Learning & Development HR Manager - Learning & Development - Financial Services https://www.iimjobs.com/j/hr-manager-learning-and-development-financial-services-1665611?ref=sp&jobPos=57 5 4+ Reviews HR Manager - Learning & Development - Financial Services 5 - 10 yrs Mumbai 5 4+ Reviews Posted 2 weeks ago      2026-02-07 20:25:58 Learning & Development HR Manager - Learning & Development - Financial Services https://www.iimjobs.com/j/hr-manager-learning-and-development-financial-services-1665611?ref=sp&jobPos=57,2026-01-24
